City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Ixtapa,MX,2020-01-03 05:12:57,20.71,-105.21,64.4,88,5,4.7
172,Kodiak,US,2020-01-03 05:12:37,39.95,-94.76,37.99,86,90,13.87
173,Kloulklubed,PW,2020-01-03 05:13:43,7.04,134.26,84.2,70,75,12.75
174,Bambanglipuro,ID,2020-01-03 05:13:43,-7.95,110.28,86.5,62,7,17.16
175,Fort Nelson,CA,2020-01-03 05:12:33,58.81,-122.69,-2.2,84,20,2.24
176,Kurchum,KZ,2020-01-03 05:13:43,48.57,83.65,11.39,87,0,3.4
177,Bathsheba,BB,2020-01-03 05:12:31,13.22,-59.52,78.8,78,75,11.41
178,Musoma,TZ,2020-01-03 05:13:44,-1.5,33.81,66.2,93,20,3.56
179,Mandalgovi,MN,2020-01-03 05:13:44,45.76,106.27,20.28,64,0,7.96
180,Tevriz,RU,2020-01-03 05:13:44,57.51,72.4,14.83,94,100,4.63
181,Mar Del Plata,AR,2020-01-03 05:09:21,-46.43,-67.52,73.53,40,1,34.23
182,Umm Lajj,SA,2020-01-03 05:13:45,25.02,37.27,63.57,47,0,8.97
183,Rio Grande,BR,2020-01-03 05:12:29,-32.03,-52.1,71.01,75,95,5.01
184,Torbay,CA,2020-01-03 05:12:27,47.66,-52.73,30.99,86,90,20.8
185,San Jeronimo,PE,2020-01-03 05:13:45,-13.65,-73.37,46.04,95,99,1.5
186,Kamyshin,RU,2020-01-03 05:13:45,50.08,45.4,27.48,93,68,8.16
187,Hami,CN,2020-01-03 05:09:05,42.84,93.51,26.33,44,0,1.16
188,Port Blair,IN,2020-01-03 05:13:45,11.67,92.75,82.26,74,2,15.95
189,Aswan,EG,2020-01-03 05:13:46,24.09,32.9,50.0,57,0,16.11
190,Trogir,HR,2020-01-03 05:13:46,43.52,16.25,50.0,69,0,2.24
191,Aklavik,CA,2020-01-03 05:13:46,68.22,-135.01,-13.0,69,90,6.93
192,Sao Joao Da Barra,BR,2020-01-03 05:13:46,-21.64,-41.05,73.35,93,100,5.44
193,Shimoda,JP,2020-01-03 05:13:46,34.7,138.93,55.4,54,20,3.36
